train/learning_rate,time/time_elapsed,train/actor_loss,train/critic_loss,rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/ent_coef,train/n_updates,train/ent_coef_loss,time/fps,eval/mean_ep_length,eval/mean_reward
0.0003,,21.45685577392578,0.011374837718904018,,23000,,,0.008348418399691582,22899,1.4905568361282349,,100.0,-36.83181964
0.0003,631,21.55266761779785,0.011259110644459724,100.0,23200,232,-42.06302847,0.008385902270674706,23099,1.4410741329193115,36,,
0.0003,,21.738277435302734,0.0153119508177042,,23500,,,0.008404284715652466,23399,0.6379395723342896,,100.0,-37.08849532
0.0003,644,21.904346466064453,0.014021472074091434,100.0,23600,236,-41.77253923,0.008396781980991364,23499,0.2457118034362793,36,,
0.0003,,22.27696418762207,0.01035370584577322,,24000,,,0.008416607975959778,23899,-0.2705270051956177,,100.0,-36.5583783
,657,,,100.0,24000,240,-41.61538184000001,,,,36,,
0.0003,661,22.683338165283203,0.009944358840584755,100.0,24400,244,-41.308276209999995,0.008372110314667225,24299,-1.0092244148254395,36,,
0.0003,,22.926025390625,0.013516874983906746,,24500,,,0.008345822803676128,24399,1.0886327028274536,,100.0,-37.286845920000005
0.0003,674,23.117713928222656,0.010319245979189873,100.0,24800,248,-41.200335679999995,0.00843086838722229,24699,-0.6003649830818176,36,,
0.0003,,23.653518676757812,0.009325084276497364,,25000,,,0.00837653037160635,24899,-0.0624164342880249,,100.0,-36.73551732000001
0.0003,686,23.322601318359375,0.011594226583838463,100.0,25200,252,-40.941109080000004,0.008416075259447098,25099,-0.3301048278808594,36,,
0.0003,,23.895158767700195,0.009347253479063511,,25500,,,0.008406906388700008,25399,1.781538963317871,,100.0,-36.44288418
0.0003,699,23.802017211914062,0.009645035490393639,100.0,25600,256,-40.75198562,0.008448511362075806,25499,-0.2178264558315277,36,,
0.0003,,24.182701110839844,0.01088306400924921,,26000,,,0.008452645502984524,25899,0.4545503556728363,,100.0,-36.96008958
,711,,,100.0,26000,260,-40.63784963,,,,36,,
0.0003,716,24.5958251953125,0.009736059233546257,100.0,26400,264,-40.48375944,0.00846867822110653,26299,0.4446588456630707,36,,
0.0003,,24.596965789794922,0.010858826339244843,,26500,,,0.008532298728823662,26399,0.14527300000190735,,100.0,-36.2693685
0.0003,729,24.625513076782227,0.011133499443531036,100.0,26800,268,-40.333921079999996,0.008438658900558949,26699,-0.05229264497756958,36,,
0.0003,,24.897071838378906,0.011264827102422714,,27000,,,0.008517973124980927,26899,-1.6080104112625122,,100.0,-36.92561348
0.0003,741,24.95189666748047,0.012635380029678345,100.0,27200,272,-40.0996104,0.008515024557709694,27099,0.2851635217666626,36,,
0.0003,,25.525569915771484,0.010362937115132809,,27500,,,0.008538001216948032,27399,-0.3538636267185211,,100.0,-38.194376139999996
0.0003,753,25.545860290527344,0.008861955255270004,100.0,27600,276,-39.768906830000006,0.008516344241797924,27499,1.3120522499084473,36,,
0.0003,,25.898109436035156,0.011297522112727165,,28000,,,0.008530395105481148,27899,0.36612600088119507,,100.0,-37.07067128
,766,,,100.0,28000,280,-39.736643810000004,,,,36,,
0.0003,771,25.951932907104492,0.00998673401772976,100.0,28400,284,-39.484522049999995,0.00853662844747305,28299,0.24747782945632935,36,,
0.0003,,26.32851219177246,0.011292707175016403,,28500,,,0.008520053699612617,28399,1.0842581987380981,,100.0,-36.699455379999996
0.0003,784,26.41516876220703,0.009304152801632881,100.0,28800,288,-39.33465605999999,0.008466792292892933,28699,-0.13624897599220276,36,,
0.0003,,26.8267765045166,0.011337902396917343,,29000,,,0.008522739633917809,28899,1.2081029415130615,,100.0,-37.20132642000001
