time/time_elapsed,rollout/ep_rew_mean,train/critic_loss,time/total_timesteps,train/n_updates,rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
768,-40.67085564,0.12554940581321716,55200,55099,100.0,71,552,44.71851348876953,0.001,,
,,0.11023707687854767,55500,55399,,,,44.842201232910156,0.001,-41.374677420000005,100.0
774,-40.85988974,0.07449283450841904,55600,55499,100.0,71,556,44.390220642089844,0.001,,
,,0.08679329603910446,56000,55899,,,,45.18552780151367,0.001,-41.76271626,100.0
781,-40.91163368,,56000,,100.0,71,560,,,,
783,-41.05045997,0.11301606893539429,56400,56299,100.0,71,564,44.947818756103516,0.001,,
,,0.1375637948513031,56500,56399,,,,44.904090881347656,0.001,-41.33530296,100.0
790,-41.50064277999999,0.1281590759754181,56800,56699,100.0,71,568,45.07373046875,0.001,,
,,0.11507591605186462,57000,56899,,,,45.280555725097656,0.001,-41.65600756,100.0
796,-41.31950102999999,0.12858586013317108,57200,57099,100.0,71,572,45.773902893066406,0.001,,
,,0.1108836680650711,57500,57399,,,,45.555091857910156,0.001,-40.58520918,100.0
802,-41.452028770000005,0.08618015050888062,57600,57499,100.0,71,576,45.42387771606445,0.001,,
,,0.0972495824098587,58000,57899,,,,45.475669860839844,0.001,-40.98098776,100.0
808,-41.29363428,,58000,,100.0,71,580,,,,
811,-41.18191961999999,0.10241998732089996,58400,58299,100.0,71,584,45.9689826965332,0.001,,
,,0.09138469398021698,58500,58399,,,,45.57680130004883,0.001,-42.6833673,100.0
817,-41.08655809,0.10431037843227386,58800,58699,100.0,71,588,45.82257843017578,0.001,,
,,0.11044686287641525,59000,58899,,,,45.85377502441406,0.001,-41.4079526,100.0
823,-41.25621571,0.08567379415035248,59200,59099,100.0,71,592,45.836509704589844,0.001,,
,,0.1103636771440506,59500,59399,,,,45.61070251464844,0.001,-41.472769719999995,100.0
829,-41.27196918,0.11064322292804718,59600,59499,100.0,71,596,45.588768005371094,0.001,,
,,0.08401169627904892,60000,59899,,,,45.97749710083008,0.001,-45.4289709,100.0
836,-41.25272964,,60000,,100.0,71,600,,,,
838,-41.57263768,0.13020946085453033,60400,60299,100.0,72,604,46.33025360107422,0.001,,
,,0.10995063930749893,60500,60399,,,,45.953369140625,0.001,-45.01903247999999,100.0
844,-41.6562513,0.11296570301055908,60800,60699,100.0,71,608,46.04387664794922,0.001,,
,,0.15401139855384827,61000,60899,,,,46.26267623901367,0.001,-42.66425008,100.0
851,-41.544611169999996,0.11686180531978607,61200,61099,100.0,71,612,46.722625732421875,0.001,,
,,0.08916385471820831,61500,61399,,,,46.07585525512695,0.001,-39.44493026,100.0
857,-41.67243813,0.12940457463264465,61600,61499,100.0,71,616,46.480934143066406,0.001,,
,,0.11181549727916718,62000,61899,,,,46.416175842285156,0.001,-39.85583762000001,100.0
863,-41.767420269999995,,62000,,100.0,71,620,,,,
866,-41.81651353,0.07665525376796722,62400,62299,100.0,72,624,46.58177185058594,0.001,,
,,0.08261062204837799,62500,62399,,,,46.86860656738281,0.001,-42.716227200000006,100.0
872,-41.48582172000001,0.09423696994781494,62800,62699,100.0,71,628,46.74187088012695,0.001,,
,,0.08442844450473785,63000,62899,,,,46.388023376464844,0.001,-45.41083614,100.0
878,-41.48718773,0.10178226977586746,63200,63099,100.0,71,632,46.910736083984375,0.001,,
,,0.11095485836267471,63500,63399,,,,46.73431396484375,0.001,-42.12277882,100.0
884,-41.47406612999999,0.11319129168987274,63600,63499,100.0,71,636,46.842769622802734,0.001,,
,,0.10771044343709946,64000,63899,,,,46.87761306762695,0.001,-41.1545497,100.0
890,-41.543835449999996,,64000,,100.0,71,640,,,,
893,-41.59603657,0.09193532913923264,64400,64299,100.0,72,644,46.91151809692383,0.001,,
,,0.11362855136394501,64500,64399,,,,46.8662109375,0.001,-40.62907138,100.0
899,-41.615095419999996,0.11007840931415558,64800,64699,100.0,72,648,46.76026153564453,0.001,,
,,0.07852745801210403,65000,64899,,,,47.05719757080078,0.001,-47.75353112,100.0
905,-41.39753132999999,0.09856591373682022,65200,65099,100.0,71,652,46.591636657714844,0.001,,
,,0.15948159992694855,65500,65399,,,,46.838417053222656,0.001,-43.3317802,100.0
911,-41.58994221999999,0.08464667201042175,65600,65499,100.0,71,656,46.87123107910156,0.001,,
,,0.16236308217048645,66000,65899,,,,47.09022521972656,0.001,-41.20629728,100.0
917,-41.44990527,,66000,,100.0,71,660,,,,
920,-41.52326223,0.10818000137805939,66400,66299,100.0,72,664,47.362789154052734,0.001,,
,,0.10209952294826508,66500,66399,,,,46.81667709350586,0.001,-40.63978618,100.0
926,-41.56614142,0.1376596838235855,66800,66699,100.0,72,668,46.74581527709961,0.001,,
,,0.09761236608028412,67000,66899,,,,47.31555938720703,0.001,-46.756295959999996,100.0
932,-41.523286070000005,0.1733061969280243,67200,67099,100.0,72,672,46.888389587402344,0.001,,
,,0.09620672464370728,67500,67399,,,,47.11846160888672,0.001,-42.344520759999995,100.0
939,-41.328990409999996,0.08651755750179291,67600,67499,100.0,71,676,47.33234405517578,0.001,,
,,0.11720046401023865,68000,67899,,,,47.59724426269531,0.001,-40.79497948,100.0
945,-41.434635359999994,,68000,,100.0,71,680,,,,
947,-41.46506333,0.13027070462703705,68400,68299,100.0,72,684,47.63502502441406,0.001,,
