time/fps,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/critic_loss,train/actor_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
163,62106,4160,56.292629160000004,379,14.97,62005,0.07270735502243042,-25.704565048217773,0.001,,
163,62166,4164,56.29012824,379,14.97,62065,0.16141542792320251,-24.895641326904297,0.001,,
163,62226,4168,56.28892042,380,14.97,62125,0.2694355249404907,-26.166152954101562,0.001,,
163,62285,4172,56.23062661,380,14.96,62184,0.09421796351671219,-26.517932891845703,0.001,,
163,62345,4176,56.22113300000001,380,14.96,62244,0.212946817278862,-23.884136199951172,0.001,,
163,62405,4180,56.24304069,381,14.96,62304,0.21605411171913147,-27.150978088378906,0.001,,
163,62464,4184,56.273768739999994,381,14.97,62363,0.3304949700832367,-25.199092864990234,0.001,,
,62500,,,,,62399,0.04451947659254074,-26.135892868041992,0.001,14.96,56.25917683999999
163,62524,4188,56.26235852,382,14.97,62423,0.10476712137460709,-26.445968627929688,0.001,,
163,62584,4192,56.275317290000004,382,14.97,62483,0.5272805690765381,-25.259113311767578,0.001,,
163,62643,4196,56.24961816999999,383,14.96,62542,0.07589521259069443,-25.554584503173828,0.001,,
163,62703,4200,56.21110264,383,14.96,62602,0.10616355389356613,-25.86626434326172,0.001,,
163,62763,4204,56.17939216000001,383,14.96,62662,0.34107136726379395,-26.346641540527344,0.001,,
163,62823,4208,56.19391131,384,14.96,62722,0.13082897663116455,-23.734718322753906,0.001,,
163,62883,4212,56.20203621,384,14.96,62782,0.2046067863702774,-25.876251220703125,0.001,,
163,62942,4216,56.18531431000001,384,14.95,62841,0.4022822976112366,-25.392606735229492,0.001,,
,63000,,,,,62899,0.38317984342575073,-25.871417999267578,0.001,14.96,56.25917683999999
163,63002,4220,56.193666430000015,385,14.95,62901,0.5996031761169434,-24.949533462524414,0.001,,
163,63061,4224,56.11819885,386,14.94,62960,0.3622451722621918,-25.274972915649414,0.001,,
163,63119,4228,56.02368154,386,14.92,63018,0.05829907953739166,-26.689115524291992,0.001,,
163,63178,4232,55.966296199999995,386,14.91,63077,0.23273184895515442,-25.105327606201172,0.001,,
163,63237,4236,55.94753706,387,14.9,63136,0.1656542420387268,-24.319786071777344,0.001,,
163,63297,4240,55.99521919,387,14.91,63196,0.12455330789089203,-25.85279083251953,0.001,,
163,63357,4244,55.98962109,387,14.91,63256,0.3674836754798889,-24.965229034423828,0.001,,
163,63417,4248,56.00854859999998,388,14.91,63316,0.23626230657100677,-24.461389541625977,0.001,,
163,63477,4252,56.01462465999999,388,14.91,63376,0.45897820591926575,-25.57756233215332,0.001,,
,63500,,,,,63399,0.35431599617004395,-26.69605255126953,0.001,14.96,56.25917683999999
163,63535,4256,55.925779590000005,389,14.89,63434,0.38575369119644165,-25.795696258544922,0.001,,
163,63595,4260,55.92102398,390,14.89,63494,0.057834021747112274,-26.839435577392578,0.001,,
163,63655,4264,55.918611059999996,390,14.89,63554,0.24139001965522766,-26.2635440826416,0.001,,
163,63715,4268,55.909885370000005,390,14.89,63614,0.058229703456163406,-25.847801208496094,0.001,,
163,63774,4272,55.91097119000001,391,14.89,63673,0.2298998236656189,-25.304946899414062,0.001,,
163,63834,4276,55.93837491,391,14.89,63733,0.22761480510234833,-25.78009605407715,0.001,,
163,63894,4280,55.910959940000005,391,14.89,63793,0.5171291828155518,-26.165498733520508,0.001,,
163,63954,4284,55.977992979999996,392,14.9,63853,0.21270227432250977,-25.309955596923828,0.001,,
,64000,,,,,63899,0.5340810418128967,-25.333301544189453,0.001,14.96,56.25917683999999
162,64013,4288,55.94285302,393,14.89,63912,0.2539871335029602,-24.204299926757812,0.001,,
162,64072,4292,55.89086249000001,393,14.88,63971,0.2955133318901062,-26.816001892089844,0.001,,
162,64132,4296,55.94452910999999,393,14.89,64031,0.5232926607131958,-24.82741928100586,0.001,,
162,64192,4300,55.95438078000001,394,14.89,64091,0.21951259672641754,-27.379901885986328,0.001,,
162,64250,4304,55.88667317,394,14.87,64149,0.34990859031677246,-25.061275482177734,0.001,,
162,64310,4308,55.87263711999999,394,14.87,64209,0.16079340875148773,-26.24225616455078,0.001,,
162,64370,4312,55.89592789,395,14.87,64269,0.11893128603696823,-23.863067626953125,0.001,,
162,64430,4316,55.901128820000004,395,14.88,64329,0.606311023235321,-25.630096435546875,0.001,,
162,64490,4320,55.89830413999998,396,14.88,64389,0.3584282398223877,-23.984989166259766,0.001,,
,64500,,,,,64399,0.2106790840625763,-24.99045181274414,0.001,14.96,56.25917683999999
162,64549,4324,55.91013885,397,14.88,64448,0.1411592662334442,-26.881113052368164,0.001,,
162,64609,4328,56.01355105,397,14.9,64508,0.06604329496622086,-27.552085876464844,0.001,,
162,64669,4332,56.05985782,397,14.91,64568,0.1073540449142456,-24.92770004272461,0.001,,
162,64729,4336,56.10088097,398,14.92,64628,0.2513788938522339,-25.817062377929688,0.001,,
162,64789,4340,56.097374550000005,398,14.92,64688,0.6658356785774231,-25.325557708740234,0.001,,
162,64849,4344,56.12057325000001,398,14.92,64748,0.21080753207206726,-27.096435546875,0.001,,
162,64909,4348,56.11617036,399,14.92,64808,0.34825772047042847,-26.449453353881836,0.001,,
