rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/critic_loss,train/learning_rate,time/time_elapsed,train/actor_loss,train/n_updates,time/total_timesteps,time/episodes,eval/mean_ep_length,eval/mean_reward
-6.74086356,99,50.0,0.03887685388326645,0.001,296,12.93232536315918,29499,29600,592,,
-6.709508760000001,99,50.0,0.036981381475925446,0.001,298,12.919928550720215,29699,29800,596,,
,,,0.035441793501377106,0.001,,13.03628921508789,29899,30000,,50.0,-7.11921912
-6.602621139999999,99,50.0,,,301,,,30000,600,,
-6.659817969999999,99,50.0,0.034970104694366455,0.001,302,12.953857421875,30099,30200,604,,
-6.73511532,99,50.0,0.03713630139827728,0.001,304,13.092430114746094,30299,30400,608,,
,,,0.03496158495545387,0.001,,13.137468338012695,30399,30500,,50.0,-6.665451019999999
-6.7202880700000005,99,50.0,0.04056466370820999,0.001,307,13.16142749786377,30499,30600,612,,
-6.764722320000001,99,50.0,0.05175647884607315,0.001,308,13.15328311920166,30699,30800,616,,
,,,0.036958303302526474,0.001,,13.26960563659668,30899,31000,,50.0,-6.78413714
-6.6447166300000005,99,50.0,,,311,,,31000,620,,
-6.670297359999999,99,50.0,0.027303796261548996,0.001,313,13.322213172912598,31099,31200,624,,
-6.611822040000001,99,50.0,0.0352320596575737,0.001,314,13.378365516662598,31299,31400,628,,
,,,0.042788539081811905,0.001,,13.423013687133789,31399,31500,,50.0,-6.48309624
-6.610903850000001,99,50.0,0.03506128862500191,0.001,317,13.481940269470215,31499,31600,632,,
-6.5929195200000015,99,50.0,0.029625412076711655,0.001,318,13.383838653564453,31699,31800,636,,
,,,0.039264045655727386,0.001,,13.509248733520508,31899,32000,,50.0,-6.785896
-6.637490209999999,99,50.0,,,321,,,32000,640,,
-6.589705499999999,99,50.0,0.0410013310611248,0.001,322,13.587705612182617,32099,32200,644,,
-6.60316511,99,50.0,0.03579325973987579,0.001,324,13.577486038208008,32299,32400,648,,
,,,0.042328063398599625,0.001,,13.797453880310059,32399,32500,,50.0,-6.77455508
-6.523035049999999,99,50.0,0.03440751135349274,0.001,327,13.872285842895508,32499,32600,652,,
-6.44338942,99,50.0,0.03325933218002319,0.001,328,13.687347412109375,32699,32800,656,,
,,,0.04144729673862457,0.001,,13.717568397521973,32899,33000,,50.0,-6.87652836
-6.458731790000001,99,50.0,,,331,,,33000,660,,
-6.291578009999999,99,50.0,0.03618453070521355,0.001,332,13.715127944946289,33099,33200,664,,
-6.33979184,100,50.0,0.04825174808502197,0.001,333,13.6454439163208,33299,33400,668,,
,,,0.052185773849487305,0.001,,13.78145980834961,33399,33500,,50.0,-6.57262676
-6.34118482,99,50.0,0.03621935844421387,0.001,337,13.818735122680664,33499,33600,672,,
-6.2088233200000005,99,50.0,0.03720400109887123,0.001,338,13.871950149536133,33699,33800,676,,
,,,0.04036621004343033,0.001,,14.007083892822266,33899,34000,,50.0,-7.07142306
-6.21391119,99,50.0,,,341,,,34000,680,,
-6.281857080000002,99,50.0,0.0440250001847744,0.001,343,13.907690048217773,34099,34200,684,,
-6.28075535,99,50.0,0.04836278781294823,0.001,344,13.95694637298584,34299,34400,688,,
,,,0.04275967553257942,0.001,,14.175191879272461,34399,34500,,50.0,-6.54296104
-6.252640949999999,99,50.0,0.03159584105014801,0.001,347,14.026203155517578,34499,34600,692,,
-6.356029169999999,99,50.0,0.0356755405664444,0.001,348,14.16462516784668,34699,34800,696,,
,,,0.03185820206999779,0.001,,14.205802917480469,34899,35000,,50.0,-6.715052419999999
-6.34876644,99,50.0,,,352,,,35000,700,,
-6.2748389599999985,99,50.0,0.038719914853572845,0.001,353,14.1922607421875,35099,35200,704,,
-6.22570558,99,50.0,0.03685757517814636,0.001,354,14.238809585571289,35299,35400,708,,
,,,0.036210957914590836,0.001,,14.317164421081543,35399,35500,,50.0,-6.152220259999999
-6.1624614300000005,99,50.0,0.03110860288143158,0.001,357,14.25570011138916,35499,35600,712,,
-6.127905150000001,99,50.0,0.04030773788690567,0.001,358,14.372185707092285,35699,35800,716,,
,,,0.04990004003047943,0.001,,14.337409973144531,35899,36000,,50.0,-6.222366300000001
-6.2585039500000015,99,50.0,,,361,,,36000,720,,
-6.113969880000001,99,50.0,0.04059377685189247,0.001,363,14.407255172729492,36099,36200,724,,
-6.14829752,99,50.0,0.03303788602352142,0.001,364,14.420412063598633,36299,36400,728,,
,,,0.046805478632450104,0.001,,14.487143516540527,36399,36500,,50.0,-5.967045959999999
-6.117349780000001,99,50.0,0.04366009682416916,0.001,367,14.425209045410156,36499,36600,732,,
-6.1464332200000005,99,50.0,0.048690129071474075,0.001,369,14.537948608398438,36699,36800,736,,
,,,0.04315994679927826,0.001,,14.744800567626953,36899,37000,,50.0,-6.2152321200000005
-6.1469852,99,50.0,,,372,,,37000,740,,
-6.214723360000001,99,50.0,0.043183937668800354,0.001,373,14.547548294067383,37099,37200,744,,
-6.1421801700000005,99,50.0,0.04818251356482506,0.001,374,14.497471809387207,37299,37400,748,,
,,,0.03819400817155838,0.001,,14.667181015014648,37399,37500,,50.0,-6.24760902
-6.159788930000001,99,50.0,0.04593019559979439,0.001,377,14.560186386108398,37499,37600,752,,
-6.170480529999999,99,50.0,0.04568695276975632,0.001,378,14.748577117919922,37699,37800,756,,
,,,0.047561511397361755,0.001,,14.862659454345703,37899,38000,,50.0,-6.159325419999999
-6.106732850000001,99,50.0,,,382,,,38000,760,,
-6.16847075,99,50.0,0.05026615038514137,0.001,383,14.816303253173828,38099,38200,764,,
-6.106974750000001,99,50.0,0.03994181752204895,0.001,384,14.865970611572266,38299,38400,768,,
,,,0.04175721853971481,0.001,,14.916786193847656,38399,38500,,50.0,-6.1276170400000005
-6.07491654,99,50.0,0.042974308133125305,0.001,387,15.141056060791016,38499,38600,772,,
-6.132520450000002,99,50.0,0.04371625557541847,0.001,389,15.069061279296875,38699,38800,776,,
,,,0.0483851283788681,0.001,,15.010796546936035,38899,39000,,50.0,-6.09344166
-6.051487850000001,99,50.0,,,392,,,39000,780,,
-5.92804802,99,50.0,0.03780730068683624,0.001,393,15.118820190429688,39099,39200,784,,
-5.980775080000001,99,50.0,0.047974929213523865,0.001,394,15.01652717590332,39299,39400,788,,
,,,0.030188949778676033,0.001,,15.171783447265625,39399,39500,,50.0,-6.11488698
-6.014603439999999,99,50.0,0.0376284159719944,0.001,398,15.194808959960938,39499,39600,792,,
-5.88864864,99,50.0,0.05482465773820877,0.001,399,15.118362426757812,39699,39800,796,,
,,,0.04091140627861023,0.001,,15.171503067016602,39899,40000,,50.0,-6.05091218
-5.860616170000001,99,50.0,,,402,,,40000,800,,
-5.816533379999999,99,50.0,0.04410204291343689,0.001,403,15.21771240234375,40099,40200,804,,
-5.73785258,99,50.0,0.05297569930553436,0.001,405,15.274158477783203,40299,40400,808,,
,,,0.05343092605471611,0.001,,15.381675720214844,40399,40500,,50.0,-6.108447559999999
-5.76832932,99,50.0,0.045653484761714935,0.001,408,15.318065643310547,40499,40600,812,,
-5.70200319,99,50.0,0.04904172569513321,0.001,409,15.417417526245117,40699,40800,816,,
,,,0.040054962038993835,0.001,,15.373163223266602,40899,41000,,50.0,-5.895645359999999
-5.59160228,99,50.0,,,412,,,41000,820,,
-5.6821974399999995,99,50.0,0.05040290206670761,0.001,413,15.334002494812012,41099,41200,824,,
-5.57618342,99,50.0,0.04768255725502968,0.001,414,15.534830093383789,41299,41400,828,,
,,,0.0322904996573925,0.001,,15.399208068847656,41399,41500,,50.0,-5.95388148
-5.561834479999999,99,50.0,0.05141890048980713,0.001,418,15.688733100891113,41499,41600,832,,
-5.550511019999999,99,50.0,0.05039303004741669,0.001,419,15.475306510925293,41699,41800,836,,
,,,0.04470684379339218,0.001,,15.443164825439453,41899,42000,,50.0,-5.78512594
-5.528908230000001,99,50.0,,,422,,,42000,840,,
-5.3977986,99,50.0,0.05514606833457947,0.001,423,15.69482421875,42099,42200,844,,
-5.43222182,99,50.0,0.03945319354534149,0.001,424,15.543994903564453,42299,42400,848,,
,,,0.0455424040555954,0.001,,15.582162857055664,42399,42500,,50.0,-5.886940040000001
-5.381528449999999,99,50.0,0.06219874694943428,0.001,428,15.608671188354492,42499,42600,852,,
-5.3524787799999975,99,50.0,0.045971982181072235,0.001,429,15.782976150512695,42699,42800,856,,
,,,0.039617735892534256,0.001,,15.778964042663574,42899,43000,,50.0,-5.963633
-5.34921685,99,50.0,,,432,,,43000,860,,
-5.326018790000001,99,50.0,0.04394373670220375,0.001,434,15.680105209350586,43099,43200,864,,
-5.29216651,99,50.0,0.04774276167154312,0.001,435,15.812772750854492,43299,43400,868,,
,,,0.04923241585493088,0.001,,15.928874015808105,43399,43500,,50.0,-6.06798502
-5.20191101,99,50.0,0.05601450800895691,0.001,438,16.13164520263672,43499,43600,872,,
-5.1469013299999995,99,50.0,0.05108783394098282,0.001,439,15.7731351852417,43699,43800,876,,
,,,0.05311470478773117,0.001,,15.994146347045898,43899,44000,,50.0,-5.93431736
