time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length
624,411.53945149,444,43,84.4,27102,0.0003,-126.43732452392578,33.80261993408203,27001,-1.4670416116714478,0.024653933942317963,,
628,405.84423383999996,448,43,83.45,27400,0.0003,-127.96896362304688,28.99958610534668,27299,-0.9999217987060547,0.023799579590559006,,
,,,,,27500,0.0003,-126.52574157714844,30.202007293701172,27399,-3.027228832244873,0.02381867542862892,457.70333398,94.84
640,408.09382355,452,43,83.9,27769,0.0003,-141.60459899902344,25.095439910888672,27668,-2.96738862991333,0.023526635020971298,,
,,,,,28000,0.0003,-137.4317626953125,31.120161056518555,27899,-1.7607274055480957,0.02324514277279377,394.9760127400001,87.24
651,408.24828891000004,456,43,83.9,28128,0.0003,-128.90692138671875,27.33929443359375,28027,-3.401376485824585,0.02326349914073944,,
655,406.80901664,460,43,83.69,28434,0.0003,-132.86093139648438,27.90123748779297,28333,1.5502712726593018,0.02352229319512844,,
,,,,,28500,0.0003,-137.80575561523438,24.155855178833008,28399,2.5355868339538574,0.023673823103308678,409.0185169,83.9
666,404.18873254,464,43,83.16,28785,0.0003,-132.48931884765625,26.83795928955078,28684,-0.3101475238800049,0.02394143119454384,,
,,,,,29000,0.0003,-130.46841430664062,29.90520477294922,28899,6.859792709350586,0.0235873032361269,464.12046718,95.58
678,407.85425631999993,468,42,84.06,29160,0.0003,-129.81736755371094,28.186424255371094,29059,-4.161357402801514,0.023472312837839127,,
682,408.00146414999995,472,43,84.22,29473,0.0003,-131.80990600585938,23.470130920410156,29372,3.3752918243408203,0.02357329986989498,,
,,,,,29500,0.0003,-135.85052490234375,28.257633209228516,29399,-2.411234140396118,0.02359047718346119,406.49525997999996,89.2
693,407.97815911,476,42,84.24,29775,0.0003,-128.34719848632812,26.794849395751953,29674,0.21507149934768677,0.023345792666077614,,
,,,,,30000,0.0003,-138.09695434570312,23.188339233398438,29899,-2.192988157272339,0.022994158789515495,410.67758454,81.06
703,408.86490295000004,480,42,84.42,30114,0.0003,-133.27902221679688,28.440906524658203,30013,-1.7479240894317627,0.023040730506181717,,
706,406.92289505,484,42,84.27,30391,0.0003,-139.60638427734375,24.458145141601562,30290,-0.5585883855819702,0.022975966334342957,,
,,,,,30500,0.0003,-132.30047607421875,27.907052993774414,30399,-0.6291676759719849,0.023000871762633324,397.7340722400001,85.02
719,412.00046997000004,488,42,85.15,30801,0.0003,-135.8856201171875,38.39733123779297,30700,2.9536538124084473,0.02302129566669464,,
,,,,,31000,0.0003,-131.71636962890625,31.071199417114258,30899,6.670474052429199,0.022936176508665085,342.8942213799999,72.88
729,411.5290314200001,492,42,85.26,31116,0.0003,-131.47283935546875,25.065906524658203,31015,0.03337651491165161,0.023121235892176628,,
732,410.33159485,496,42,85.13,31391,0.0003,-139.14642333984375,26.707828521728516,31290,0.641701340675354,0.02254575677216053,,
,,,,,31500,0.0003,-125.96974182128906,26.602357864379883,31399,7.444899559020996,0.022480091080069542,324.9850636,70.94
739,404.7431933599999,500,42,84.27,31610,0.0003,-129.96823120117188,33.11463165283203,31509,3.4119863510131836,0.022685246542096138,,
744,405.9937998500001,504,42,84.62,31970,0.0003,-129.6370849609375,32.49702453613281,31869,-1.2258630990982056,0.023308612406253815,,
,,,,,32000,0.0003,-132.34986877441406,23.707427978515625,31899,-2.835094928741455,0.02326633408665657,440.22581513999995,96.96
755,402.4974790500001,508,42,84.09,32303,0.0003,-134.76937866210938,29.38152503967285,32202,3.199673652648926,0.023350222036242485,,
,,,,,32500,0.0003,-128.3915252685547,29.771099090576172,32399,0.12106096744537354,0.023453768342733383,391.55424522,86.6
766,405.35878719999994,512,42,84.76,32699,0.0003,-127.4006118774414,25.76962661743164,32598,4.112643241882324,0.023573890328407288,,
,,,,,33000,0.0003,-128.1774444580078,28.241273880004883,32899,-2.133150100708008,0.023021275177598,417.33736863999997,89.8
778,403.37398527000005,516,42,84.61,33045,0.0003,-136.9706268310547,45.486915588378906,32944,-2.4998087882995605,0.022902455180883408,,
781,399.54384987,520,42,83.67,33335,0.0003,-133.007568359375,26.531536102294922,33234,-1.4604277610778809,0.02274242788553238,,
,,,,,33500,0.0003,-132.34182739257812,32.6874885559082,33399,1.872937560081482,0.022522853687405586,300.1506241,60.16
789,393.42742032999996,524,42,82.47,33580,0.0003,-125.06487274169922,29.13011360168457,33479,0.4476959705352783,0.022421298548579216,,
792,389.61886059999995,528,42,81.54,33885,0.0003,-130.81985473632812,23.741718292236328,33784,2.361882209777832,0.02236115373671055,,
,,,,,34000,0.0003,-134.27938842773438,29.136280059814453,33899,1.2660490274429321,0.022378722205758095,492.41728524000007,101.22
804,389.77487647000004,532,42,81.69,34217,0.0003,-140.9983367919922,29.789875030517578,34116,-2.045534133911133,0.022423911839723587,,
,,,,,34500,0.0003,-130.29315185546875,28.54339599609375,34399,0.913222074508667,0.02264220267534256,476.49302581999996,97.42
816,387.37225149,536,42,81.21,34518,0.0003,-130.17355346679688,25.83645248413086,34417,0.5308887362480164,0.022679124027490616,,
820,389.0196503200001,540,42,81.66,34887,0.0003,-131.6834259033203,21.79389190673828,34786,-2.350008487701416,0.022557467222213745,,
,,,,,35000,0.0003,-131.12368774414062,26.028600692749023,34899,-1.422600269317627,0.022718116641044617,416.89151134,80.48
831,387.3097561499999,544,42,81.4,35242,0.0003,-127.35738372802734,21.845380783081055,35141,-2.8716773986816406,0.02255273424088955,,
,,,,,35500,0.0003,-128.62571716308594,32.89864730834961,35399,1.2077255249023438,0.022399717941880226,474.38080464,96.74
