eval/mean_reward,eval/mean_ep_length,train/critic_loss,train/actor_loss,train/n_updates,time/total_timesteps,train/learning_rate,time/fps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/time_elapsed
,,0.8538767099380493,-43.014549255371094,90875,90976,0.001,9,947.6666666666666,96,766.5646246458333,9469
1189.30303028,976.0,0.7833727598190308,-41.68476104736328,90899,91000,0.001,,,,,
1185.95339182,1000.0,0.8184448480606079,-42.218360900878906,91399,91500,0.001,,,,,
1177.9366522999999,987.16,0.846677303314209,-42.6632194519043,91899,92000,0.001,,,,,
1258.5313856,984.58,1.12861967086792,-42.97014617919922,92399,92500,0.001,,,,,
1103.51096858,931.78,0.647588849067688,-43.405738830566406,92899,93000,0.001,,,,,
1397.9412646,1000.0,0.7471063733100891,-43.854061126708984,93399,93500,0.001,,,,,
1235.3622895400001,990.16,0.9191832542419434,-43.72698974609375,93899,94000,0.001,,,,,
1434.33542512,1000.0,0.9880630373954773,-43.65159225463867,94399,94500,0.001,,,,,
,,0.9351159334182739,-44.60896301269531,94875,94976,0.001,9,949.76,100,789.45001039,9916
1360.57812354,1000.0,0.9014425873756409,-44.097373962402344,94899,95000,0.001,,,,,
1415.6348598399998,1000.0,0.940096378326416,-45.97931671142578,95399,95500,0.001,,,,,
1460.0698547000002,999.28,1.1199438571929932,-44.28617858886719,95899,96000,0.001,,,,,
1355.22729872,971.4,1.0483598709106445,-46.0078125,96399,96500,0.001,,,,,
1489.7007291800003,1000.0,1.1992257833480835,-44.115779876708984,96899,97000,0.001,,,,,
1338.17199486,999.34,0.8758050203323364,-46.338134765625,97399,97500,0.001,,,,,
1519.5945925400001,982.32,1.0704872608184814,-46.197608947753906,97899,98000,0.001,,,,,
1378.57462232,967.96,1.2558138370513916,-46.11191177368164,98399,98500,0.001,,,,,
,,1.0291424989700317,-48.34059143066406,98875,98976,0.001,9,969.26,104,862.17461553,10358
1502.2837893399999,1000.0,0.975239634513855,-48.16899108886719,98899,99000,0.001,,,,,
1476.1863126599999,982.4,1.175702452659607,-46.90740966796875,99399,99500,0.001,,,,,
1549.31486264,987.16,1.143593430519104,-48.744102478027344,99899,100000,0.001,,,,,
1531.7918661000003,1000.0,1.073477029800415,-48.86073303222656,100399,100500,0.001,,,,,
1402.1470679999998,988.8,0.94219571352005,-49.569236755371094,100899,101000,0.001,,,,,
1591.6486851599998,986.72,1.2633219957351685,-48.80586242675781,101399,101500,0.001,,,,,
1468.24913948,985.6,1.3299345970153809,-49.020263671875,101899,102000,0.001,,,,,
1460.0282316999999,951.62,1.4303783178329468,-49.5649528503418,102399,102500,0.001,,,,,
,,1.3095370531082153,-51.0915641784668,102875,102976,0.001,9,973.0,108,915.6672959800002,10786
1464.3377515200004,962.34,1.642560601234436,-49.759178161621094,102899,103000,0.001,,,,,
1491.9943395,988.26,1.3168598413467407,-51.675533294677734,103399,103500,0.001,,,,,
1657.40505464,970.74,1.1212563514709473,-51.52685546875,103899,104000,0.001,,,,,
1632.1075529800003,992.3,1.4940500259399414,-51.04254150390625,104399,104500,0.001,,,,,
1644.64881186,1000.0,1.9475138187408447,-51.88581085205078,104899,105000,0.001,,,,,
1476.37282294,927.78,1.5778191089630127,-51.944923400878906,105399,105500,0.001,,,,,
1379.7671138199998,940.18,2.0601813793182373,-52.35831832885742,105899,106000,0.001,,,,,
1177.89769006,981.6,1.7478491067886353,-53.51158905029297,106399,106500,0.001,,,,,
,,1.606598138809204,-52.797813415527344,106875,106976,0.001,9,985.04,112,946.04449325,11208
1374.0138717399998,878.78,1.697957992553711,-53.744285583496094,106899,107000,0.001,,,,,
1413.7907454200001,981.7,1.7376339435577393,-51.89868927001953,107399,107500,0.001,,,,,
1474.59036788,924.64,1.5713820457458496,-52.683189392089844,107899,108000,0.001,,,,,
1298.77972706,859.0,1.9269943237304688,-54.55471420288086,108399,108500,0.001,,,,,
891.1657639599999,722.26,1.6575289964675903,-53.66070556640625,108899,109000,0.001,,,,,
1478.1851329400001,954.18,1.7891762256622314,-55.281620025634766,109399,109500,0.001,,,,,
1257.92745382,826.1,2.254594326019287,-55.57676696777344,109899,110000,0.001,,,,,
,,1.9012211561203003,-54.50990295410156,110096,110197,0.001,9,977.25,116,976.7347408100001,11539
1574.7769998200001,950.02,2.040541648864746,-56.032073974609375,110399,110500,0.001,,,,,
1600.2462533399998,963.06,1.8859610557556152,-57.23575973510742,110899,111000,0.001,,,,,
1479.23819082,862.92,2.166630506515503,-56.32645034790039,111399,111500,0.001,,,,,
1425.5828371000002,905.48,1.945007085800171,-58.212982177734375,111899,112000,0.001,,,,,
1538.3867683199999,917.3,2.0063977241516113,-56.82304763793945,112399,112500,0.001,,,,,
1667.3834629600003,955.94,2.083965539932251,-57.951141357421875,112899,113000,0.001,,,,,
1505.39759324,914.94,2.824918031692505,-56.74982452392578,113399,113500,0.001,,,,,
1401.31874364,874.12,2.100426197052002,-56.895320892333984,113899,114000,0.001,,,,,
,,2.376988410949707,-59.67446517944336,114096,114197,0.001,9,977.25,120,1015.2313547000001,11936
1384.0114652600003,882.44,1.8771474361419678,-58.511775970458984,114399,114500,0.001,,,,,
1180.1498414,890.62,3.4107062816619873,-57.57071304321289,114899,115000,0.001,,,,,
1405.5015035800002,854.08,2.276143789291382,-58.43064880371094,115399,115500,0.001,,,,,
1365.97004534,878.9,2.9802541732788086,-60.257568359375,115899,116000,0.001,,,,,
1427.2490370799999,946.6,3.378007173538208,-59.5185661315918,116399,116500,0.001,,,,,
1149.0622995400001,842.64,2.498325824737549,-58.99048614501953,116899,117000,0.001,,,,,
1380.62044894,891.42,2.904780864715576,-59.216102600097656,117399,117500,0.001,,,,,
1243.04635138,895.08,2.2821249961853027,-60.764469146728516,117899,118000,0.001,,,,,
