time/time_elapsed,rollout/ep_rew_mean,train/critic_loss,time/fps,train/actor_loss,time/total_timesteps,train/n_updates,time/episodes,rollout/ep_len_mean,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
1224,-41.18489512,0.022839169949293137,36,33.86524963378906,44800,44699,448,100.0,0.0076598613522946835,1.3524672985076904,0.0003,,
,,0.020323920994997025,,33.56831359863281,45000,44899,,,0.007658017333596945,-0.4351876378059387,0.0003,100.0,-51.52491141999999
1236,-41.65922755,0.016142260283231735,36,33.440799713134766,45200,45099,452,100.0,0.00767067726701498,1.9494504928588867,0.0003,,
,,0.018242638558149338,,33.34114074707031,45500,45399,,,0.007696312386542559,0.16218969225883484,0.0003,100.0,-41.76800677999999
1249,-41.917582319999994,0.025252029299736023,36,33.90058135986328,45600,45499,456,100.0,0.007665148936212063,-0.4719182848930359,0.0003,,
,,0.017111588269472122,,33.5463981628418,46000,45899,,,0.007630467880517244,-0.7122433185577393,0.0003,100.0,-41.2952968
1261,-41.94443348,,36,,46000,,460,100.0,,,,,
1266,-42.085623770000005,0.02020742930471897,36,34.22891616821289,46400,46299,464,100.0,0.007651567924767733,0.005670636892318726,0.0003,,
,,0.01950705796480179,,33.481590270996094,46500,46399,,,0.007640710100531578,1.379570722579956,0.0003,100.0,-39.95660462
1278,-42.48120287,0.02601815201342106,36,34.117103576660156,46800,46699,468,100.0,0.007739769294857979,1.4937384128570557,0.0003,,
,,0.017845522612333298,,33.96854019165039,47000,46899,,,0.007754723075777292,0.665534257888794,0.0003,100.0,-40.4579029
1291,-42.13465863,0.026509175077080727,36,34.241947174072266,47200,47099,472,100.0,0.0077142538502812386,1.3496341705322266,0.0003,,
,,0.026096511632204056,,34.24559020996094,47500,47399,,,0.007698962930589914,-0.8807018995285034,0.0003,100.0,-38.18989438
1304,-42.42348162000001,0.025709062814712524,36,33.99907684326172,47600,47499,476,100.0,0.007651998195797205,-0.030715644359588623,0.0003,,
,,0.017791394144296646,,33.85807800292969,48000,47899,,,0.007607609033584595,0.874302864074707,0.0003,100.0,-38.84829388
1316,-42.53605092,,36,,48000,,480,100.0,,,,,
